Time (seconds),temp_CPU,light,temp_OUT,moist_lv,year,month,date,hour,min,sec
22082.09,16,0,17,148,2026,2,7,21,1,24
22142.09,16,0,17,147,2026,2,7,21,2,24
22202.09,16,0,16,147,2026,2,7,21,3,24
22262.09,16,0,16,147,2026,2,7,21,4,24
22322.09,16,0,16,146,2026,2,7,21,5,24
22382.09,16,0,16,147,2026,2,7,21,6,24
22442.09,16,0,16,147,2026,2,7,21,7,24
22502.10,16,0,16,147,2026,2,7,21,8,24
22562.09,16,0,16,147,2026,2,7,21,9,24
22622.09,16,0,16,147,2026,2,7,21,10,24
22682.09,15,0,16,147,2026,2,7,21,11,24
22742.91,16,0,16,148,2026,2,7,21,12,24
22802.09,15,0,16,148,2026,2,7,21,13,24
22862.09,15,0,16,147,2026,2,7,21,14,24
22922.09,16,0,16,148,2026,2,7,21,15,24
22982.09,16,0,16,147,2026,2,7,21,16,24
23042.09,15,0,16,147,2026,2,7,21,17,24
23102.09,15,0,16,147,2026,2,7,21,18,24
23162.09,16,0,16,148,2026,2,7,21,19,24
23222.10,16,0,16,147,2026,2,7,21,20,24
23282.09,15,0,16,148,2026,2,7,21,21,24
23342.09,15,0,16,148,2026,2,7,21,22,24
23402.09,15,0,16,147,2026,2,7,21,23,24
23462.09,15,0,16,147,2026,2,7,21,24,24
23522.09,15,0,16,147,2026,2,7,21,25,24
23582.09,15,0,16,147,2026,2,7,21,26,24
23642.09,15,0,16,147,2026,2,7,21,27,24
23702.09,15,0,16,147,2026,2,7,21,28,24
23762.09,15,0,16,147,2026,2,7,21,29,24
23822.09,15,0,16,147,2026,2,7,21,30,24
23882.91,15,0,16,148,2026,2,7,21,31,24
23942.10,15,0,16,148,2026,2,7,21,32,24
24002.09,15,0,16,148,2026,2,7,21,33,24
24062.09,15,0,16,148,2026,2,7,21,34,24
24122.09,15,0,16,148,2026,2,7,21,35,24
24182.09,15,0,16,147,2026,2,7,21,36,24
24242.91,15,0,16,148,2026,2,7,21,37,24
24302.09,15,0,16,148,2026,2,7,21,38,24
24362.09,15,0,16,148,2026,2,7,21,39,24
24422.09,15,0,16,148,2026,2,7,21,40,24
24482.09,15,0,16,148,2026,2,7,21,41,24
24542.91,15,0,16,148,2026,2,7,21,42,24
